"CountryID","Area","PA","KBAoutPA","PAprop","KBAoutPAprop","cou30W20","cou30W20prop","cou30W20Left","cou30W20Leftprop","cou30W40","cou30W40prop","cou30W40Left","cou30W40Leftprop","cou30W60","cou30W60prop","cou30W60Left","cou30W60Leftprop","cou30W80","cou30W80prop","cou30W80Left","cou30W80Leftprop","cou30W0","cou30W0prop","cou30W0Left","cou30W0Leftprop","cou30W100","cou30W100prop","cou30W100Left","cou30W100Leftprop","cou50W20","cou50W20prop","cou50W20Left","cou50W20Leftprop","cou50W40","cou50W40prop","cou50W40Left","cou50W40Leftprop","cou50W60","cou50W60prop","cou50W60Left","cou50W60Leftprop","cou50W80","cou50W80prop","cou50W80Left","cou50W80Leftprop","cou50W0","cou50W0prop","cou50W0Left","cou50W0Leftprop","cou50W100","cou50W100prop","cou50W100Left","cou50W100Leftprop","glo30W20","glo30W20prop","glo30W20Left","glo30W20Leftprop","glo30W40","glo30W40prop","glo30W40Left","glo30W40Leftprop","glo30W60","glo30W60prop","glo30W60Left","glo30W60Leftprop","glo30W80","glo30W80prop","glo30W80Left","glo30W80Leftprop","glo30W0","glo30W0prop","glo30W0Left","glo30W0Leftprop","glo30W100","glo30W100prop","glo30W100Left","glo30W100Leftprop","glo50W20","glo50W20prop","glo50W20Left","glo50W20Leftprop","glo50W40","glo50W40prop","glo50W40Left","glo50W40Leftprop","glo50W60","glo50W60prop","glo50W60Left","glo50W60Leftprop","glo50W80","glo50W80prop","glo50W80Left","glo50W80Leftprop","glo50W0","glo50W0prop","glo50W0Left","glo50W0Leftprop","glo50W100","glo50W100prop","glo50W100Left","glo50W100Leftprop"
0,9490900,1747850,436175,0.184160617012085,0.0459571800356131,805600,0.0848813073575741,6501275,0.685000895594728,785250,0.0827371482156592,6521625,0.687145054736642,767475,0.0808643015941586,6539400,0.689017901358143,776000,0.0817625304238797,6530875,0.688119672528422,805600,0.0848813073575741,6501275,0.685000895594728,749475,0.0789677480533985,6557400,0.690914454898903,2798675,0.294879832260376,4508200,0.475002370691926,2798675,0.294879832260376,4508200,0.475002370691926,2798675,0.294879832260376,4508200,0.475002370691926,2798675,0.294879832260376,4508200,0.475002370691926,2798675,0.294879832260376,4508200,0.475002370691926,2798675,0.294879832260376,4508200,0.475002370691926,641200,0.0675594516852985,6665675,0.702322751267003,593425,0.0625256824958645,6713450,0.707356520456437,553500,0.058319021378373,6753375,0.711563181573929,540600,0.0569598246741616,6766275,0.71292237827814,955575,0.100683286095102,6351300,0.6691989168572,535025,0.0563724198969539,6771850,0.713509783055348,2322975,0.24475813674151,4983900,0.525124066210791,2325625,0.245037351568344,4981250,0.524844851383957,2335675,0.246096260628602,4971200,0.523785942323699,2344875,0.247065610216102,4962000,0.5228165927362,4043300,0.426018607297517,3263575,0.343863595654785,2345950,0.247178876608119,4960925,0.522703326344182
1,643550,23275,57525,0.036166576023619,0.0893869940175589,102625,0.159467018879652,460125,0.71497941107917,102625,0.159467018879652,460125,0.71497941107917,102625,0.159467018879652,460125,0.71497941107917,102625,0.159467018879652,460125,0.71497941107917,121900,0.189418071633906,440850,0.685028358324916,102625,0.159467018879652,460125,0.71497941107917,257050,0.399425064097584,305700,0.475021365861238,257050,0.399425064097584,305700,0.475021365861238,257050,0.399425064097584,305700,0.475021365861238,257050,0.399425064097584,305700,0.475021365861238,255725,0.397366172014607,307025,0.477080257944216,257050,0.399425064097584,305700,0.475021365861238,65050,0.101079947168052,497700,0.77336648279077,53525,0.0831714707481936,509225,0.791274959210629,53975,0.0838707171159972,508775,0.790575712842825,54525,0.0847253515655349,508225,0.789721078393287,107975,0.167780281252428,454775,0.706666148706394,55025,0.0855022919742056,507725,0.788944137984617,87350,0.135731489394763,475400,0.738714940564059,82725,0.12854479061456,480025,0.745901639344262,80825,0.125592417061611,481925,0.748854012897211,80000,0.124310465387305,482750,0.750135964571517,145675,0.226361588066195,417075,0.648084841892627,78750,0.122368114365628,484000,0.752078315593194
2,28675,4325,2425,0.150828247602441,0.0845684394071491,2275,0.0793374019180471,19650,0.685265911072363,2275,0.0793374019180471,19650,0.685265911072363,2275,0.0793374019180471,19650,0.685265911072363,2275,0.0793374019180471,19650,0.685265911072363,2275,0.0793374019180471,19650,0.685265911072363,2275,0.0793374019180471,19650,0.685265911072363,8300,0.289450741063644,13625,0.475152571926765,8300,0.289450741063644,13625,0.475152571926765,8300,0.289450741063644,13625,0.475152571926765,8300,0.289450741063644,13625,0.475152571926765,8300,0.289450741063644,13625,0.475152571926765,8300,0.289450741063644,13625,0.475152571926765,6300,0.219703574542284,15625,0.544899738448126,5350,0.186573670444638,16575,0.578029642545772,4650,0.162162162162162,17275,0.602441150828248,3800,0.132519616390584,18125,0.632083696599826,11600,0.404533565823888,10325,0.360069747166521,3725,0.129904097646033,18200,0.634699215344377,12050,0.420226678291194,9875,0.344376634699215,11575,0.403661726242371,10350,0.360941586748038,11350,0.395815170008718,10575,0.368788142981691,11150,0.388840453356582,10775,0.375762859633827,11925,0.415867480383609,10000,0.3487358326068,11050,0.385353095030514,10875,0.379250217959895
3,2325650,106600,130525,0.0458366478188893,0.056124094339217,425700,0.183045600154795,1662825,0.714993657687098,425700,0.183045600154795,1662825,0.714993657687098,425700,0.183045600154795,1662825,0.714993657687098,425725,0.18305634983768,1662800,0.714982908004214,425700,0.183045600154795,1662825,0.714993657687098,425700,0.183045600154795,1662825,0.714993657687098,869525,0.373884720400748,1219000,0.524154537441146,867575,0.373046245135769,1220950,0.524993012706125,867575,0.373046245135769,1220950,0.524993012706125,867575,0.373046245135769,1220950,0.524993012706125,867575,0.373046245135769,1220950,0.524993012706125,867575,0.373046245135769,1220950,0.524993012706125,179350,0.0771182250123621,1909175,0.820921032829532,167325,0.0719476275449874,1921200,0.826091630296906,178925,0.0769354804033281,1909600,0.821103777438566,162050,0.0696794444563885,1926475,0.828359813385505,228400,0.0982091028314665,1860125,0.799830155010427,161075,0.0692602068238987,1927450,0.828779051017995,197575,0.0849547438350569,1890950,0.813084514006837,202150,0.0869219358028938,1886375,0.811117322039,209675,0.0901575903510846,1878850,0.807881667490809,235150,0.101111517210242,1853375,0.796927740631652,224075,0.0963494076924731,1864450,0.801689850149421,209425,0.0900500935222411,1879100,0.807989164319653
4,525,275,250,0.523809523809524,0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1254900,87325,20550,0.0695872181050283,0.0163758068371982,287350,0.228982389034983,859675,0.685054586022791,287375,0.229002310941111,859650,0.685034664116663,287400,0.229022232847239,859625,0.685014742210535,287400,0.229022232847239,859625,0.685014742210535,274900,0.21906127978325,872125,0.694975695274524,287400,0.229022232847239,859625,0.685014742210535,550925,0.439019045342258,596100,0.475017929715515,550925,0.439019045342258,596100,0.475017929715515,550925,0.439019045342258,596100,0.475017929715515,550925,0.439019045342258,596100,0.475017929715515,488700,0.38943342098972,658325,0.524603554068053,550925,0.439019045342258,596100,0.475017929715515,181600,0.144712726113635,965425,0.769324248944139,162500,0.129492389831859,984525,0.784544585225914,154700,0.12327675511993,992325,0.790760219937844,149725,0.119312295800462,997300,0.794724679257311,205700,0.163917443621006,941325,0.750119531436768,149175,0.118874013865647,997850,0.795162961192127,992850,0.791178579966531,154175,0.122858395091242,1001575,0.798131325205196,145450,0.115905649852578,1006175,0.801796955932744,140850,0.11224001912503,1010350,0.805123914256116,136675,0.108913060801657,301575,0.240317953621803,845450,0.673719021435971,1013650,0.807753605865009,133375,0.106283369192764
6,475,0,75,0,0.157894736842105,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0,400,0.842105263157895,0,0
7,2787525,229175,184025,0.0822145092869122,0.0660173451359181,464850,0.166760836225684,1909475,0.685007309351486,464850,0.166760836225684,1909475,0.685007309351486,464675,0.166698056519672,1909650,0.685070089057497,450250,0.16152321503843,1924075,0.69024493053874,464850,0.166760836225684,1909475,0.685007309351486,424450,0.152267692666433,1949875,0.699500452910736,1050250,0.376767921363934,1324075,0.475000224213236,1050250,0.376767921363934,1324075,0.475000224213236,1050250,0.376767921363934,1324075,0.475000224213236,1050250,0.376767921363934,1324075,0.475000224213236,1050250,0.376767921363934,1324075,0.475000224213236,1050250,0.376767921363934,1324075,0.475000224213236,413275,0.148258760011121,1961050,0.703509385566049,361950,0.12984636909086,2012375,0.72192177648631,334850,0.120124483188492,2039475,0.731643662388678,308950,0.110833086698774,2065375,0.740935058878396,616200,0.221056313396292,1758125,0.630711832180877,296775,0.106465412866252,2077550,0.745302732710917,969550,0.347817508363154,1404775,0.503950637214016,950000,0.340804118348714,1424325,0.510964027228455,918200,0.329396148913463,1456125,0.522371996663707,905050,0.324678702433162,1469275,0.527089443144008,1519250,0.545017533475036,855075,0.306750612102134,900650,0.323100241253442,1473675,0.528667904323728
8,29675,6175,5750,0.208087615838248,0.193765796124684,725,0.0244313395113732,17025,0.573715248525695,725,0.0244313395113732,17025,0.573715248525695,725,0.0244313395113732,17025,0.573715248525695,725,0.0244313395113732,17025,0.573715248525695,725,0.0244313395113732,17025,0.573715248525695,725,0.0244313395113732,17025,0.573715248525695,3650,0.122999157540017,14100,0.475147430497051,3650,0.122999157540017,14100,0.475147430497051,3650,0.122999157540017,14100,0.475147430497051,3650,0.122999157540017,14100,0.475147430497051,3650,0.122999157540017,14100,0.475147430497051,3650,0.122999157540017,14100,0.475147430497051,4050,0.13647851727043,13700,0.461668070766639,3425,0.11541701769166,14325,0.482729570345409,3125,0.10530749789385,14625,0.492839090143218,2550,0.0859309182813816,15200,0.512215669755687,7275,0.245155855096883,10475,0.352990732940185,1875,0.06318449873631,15875,0.534962089300758,7375,0.248525695029486,10375,0.349620893007582,7275,0.245155855096883,10475,0.352990732940185,7125,0.240101095197978,10625,0.35804549283909,6750,0.227464195450716,11000,0.370682392586352,8425,0.28390901432182,9325,0.314237573715249,6525,0.219882055602359,11225,0.378264532434709
9,175,25,25,0.142857142857143,0.142857142857143,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16,125,0.714285714285714,0,1.11022302462516e-16
