"filename","id_no","seasonal","binomial","category","path"
"56155804_1",56155804,1,"Liolaemus tulkas","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56155804_1.tif"
"56050402_1",56050402,1,"Siagonodon acutirostris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56050402_1.tif"
"63699_1",63699,1,"Celestus ingridae","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\63699_1.tif"
"102658115_1",102658115,1,"Scincella przewalskii","DD",NA
"74995190_1",74995190,1,"Anolis dolichocephalus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\74995190_1.tif"
"44581753_1",44581753,1,"Erythrolamprus typhlus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44581753_1.tif"
"64154_1",64154,1,"Sceloporus teapensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64154_1.tif"
"62255_1",62255,1,"Vipera ammodytes","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\62255_1.tif"
"64340_1",64340,1,"Mixcoatlus melanurus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64340_1.tif"
"15261_1",15261,1,"Oligosoma striatum","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15261_1.tif"
"198381_1",198381,1,"Mastigodryas cliftoni","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\198381_1.tif"
"164640_1",164640,1,"Pseudocerastes persicus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\164640_1.tif"
"176849_1",176849,1,"Lycodonomorphus subtaeniatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176849_1.tif"
"50950814_1",50950814,1,"Stenocercus roseiventris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50950814_1.tif"
"44579322_1",44579322,1,"Lepidoblepharis duolepis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44579322_1.tif"
"172702_1",172702,1,"Bungarus caeruleus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172702_1.tif"
"104692774_1",104692774,1,"Cyrtodactylus khammouanensis","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104692774_1.tif"
"56798399_1",56798399,1,"Saltuarius kateae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56798399_1.tif"
"22985_1",22985,1,"Montivipera albizona","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\22985_1.tif"
"169908_1",169908,1,"Luperosaurus macgregori","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169908_1.tif"
"15178721_1",15178721,1,"Helicops hagmanni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15178721_1.tif"
"110215164_1",110215164,1,"Pachydactylus serval","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\110215164_1.tif"
"124310687_1",124310687,1,"Myriopholis perreti","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\124310687_1.tif"
"101949771_1",101949771,1,"Cyrtodactylus sharkari","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\101949771_1.tif"
"75159387_1",75159387,1,"Amphisbaena brasiliana","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75159387_1.tif"
"44979462_1",44979462,1,"Trachylepis irregularis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44979462_1.tif"
"75607309_1",75607309,1,"Typhlops gonavensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75607309_1.tif"
"56052691_1",56052691,1,"Liolaemus darwinii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56052691_1.tif"
"178352_1",178352,1,"Chioninia vaillantii","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178352_1.tif"
"120188965_1",120188965,1,"Naultinus grayii","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\120188965_1.tif"
"178410_1",178410,1,"Macropholidus ruthveni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178410_1.tif"
"61521_1",61521,1,"Teira dugesii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61521_1.tif"
"99929811_1",99929811,1,"Gonocephalus klossi","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\99929811_1.tif"
"50957162_1",50957162,1,"Bothrops moojeni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50957162_1.tif"
"157245_1",157245,1,"Darevskia praticola","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\157245_1.tif"
"50956354_1",50956354,1,"Amphisbaena slateri","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50956354_1.tif"
"191908_1",191908,1,"Oligodon albocinctus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\191908_1.tif"
"64258_1",64258,1,"Aspidoscelis communis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64258_1.tif"
"102648396_1",102648396,1,"Cyrtodactylus seribuatensis","VU",NA
"203668_1",203668,1,"Lachesis melanocephala","VU",NA
"172639_1",172639,1,"Plectrurus aureus","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172639_1.tif"
"50950484_1",50950484,1,"Riama colomaromani","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\50950484_1.tif"
"56039393_1",56039393,1,"Erythrolamprus sagittifer","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56039393_1.tif"
"42492959_1",42492959,1,"Demansia olivacea","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42492959_1.tif"
"102658648_1",102658648,1,"Tytthoscincus ishaki","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102658648_1.tif"
"104691922_1",104691922,1,"Cyrtodactylus huynhi","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104691922_1.tif"
"102727595_1",102727595,1,"Vermicella intermedia","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102727595_1.tif"
"13484111_1",13484111,1,"Nactus vankampeni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13484111_1.tif"
"176276_1",176276,1,"Aparallactus capensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176276_1.tif"
"202848_1",202848,1,"Naja sagittifera","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\202848_1.tif"
"203196_1",203196,1,"Helminthophis praeocularis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203196_1.tif"
"172903_1",172903,1,"Paracontias manify","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172903_1.tif"
"178449_1",178449,1,"Typhlosaurus caecus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178449_1.tif"
"176183_1",176183,1,"Caledoniscincus aquilonius","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176183_1.tif"
"109464722_1",109464722,1,"Ctenotus taeniolatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109464722_1.tif"
"56234142_1",56234142,1,"Homonota gaudichaudii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56234142_1.tif"
"189230827_1",189230827,1,"Paroedura stellata","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\189230827_1.tif"
"127937731_1",127937731,1,"Cnemaspis flaviventralis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\127937731_1.tif"
"192188_1",192188,1,"Trimeresurus purpureomaculatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192188_1.tif"
"15204002_1",15204002,1,"Bothrocophias colombianus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15204002_1.tif"
