"filename","id_no","seasonal","binomial","category","path"
"203597_1",203597,1,"Siphlophis cervinus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203597_1.tif"
"42492842_1",42492842,1,"Aspidomorphus schlegelii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42492842_1.tif"
"64306_1",64306,1,"Cerrophidion petlalcalensis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64306_1.tif"
"56050556_1",56050556,1,"Liolaemus abdalai","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56050556_1.tif"
"74995967_1",74995967,1,"Anolis monensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\74995967_1.tif"
"170378_1",170378,1,"Bronchocela jubata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\170378_1.tif"
"203802_1",203802,1,"Trapelus agnetae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203802_1.tif"
"127941580_1",127941580,1,"Hemidactylus hemchandrai","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\127941580_1.tif"
"164610_1",164610,1,"Acanthodactylus boskianus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\164610_1.tif"
"75606981_1",75606981,1,"Amerotyphlops trinitatus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75606981_1.tif"
"202851_1",202851,1,"Trimeresurus andersonii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\202851_1.tif"
"54586647_1",54586647,1,"Cyrtodactylus aurensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\54586647_1.tif"
"172844_1",172844,1,"Brookesia ebenaui","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172844_1.tif"
"176750_1",176750,1,"Laticauda colubrina","LC",NA
"203336_1",203336,1,"Trimorphodon quadruplex","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203336_1.tif"
"172549_1",172549,1,"Rhampholeon beraduccii","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172549_1.tif"
"191949_1",191949,1,"Macrocalamus tweediei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\191949_1.tif"
"176781_1",176781,1,"Dendrelaphis bifrenalis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176781_1.tif"
"102830903_1",102830903,1,"Delma nasuta","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102830903_1.tif"
"18917676_1",18917676,1,"Goniurosaurus bawanglingensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\18917676_1.tif"
"170504_1",170504,1,"Cyclemys atripons","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\170504_1.tif"
"196975_1",196975,1,"Heliobolus lugubris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196975_1.tif"
"178567_1",178567,1,"Cyrtodactylus feae","DD",NA
"178732_1",178732,1,"Trimeresurus erythrurus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178732_1.tif"
"109472962_1",109472962,1,"Lampropholis amicula","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109472962_1.tif"
"44551013_1",44551013,1,"Anolis aequatorialis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44551013_1.tif"
"56077311_1",56077311,1,"Liolaemus moradoensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56077311_1.tif"
"83488912_1",83488912,1,"Ctenophorus reticulatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\83488912_1.tif"
"17450557_1",17450557,1,"Agama kirkii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\17450557_1.tif"
"104718035_1",104718035,1,"Gekko siamensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104718035_1.tif"
"6488_1",6488,1,"Denisonia maculata","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\6488_1.tif"
"102680368_1",102680368,1,"Oedura bella","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102680368_1.tif"
"203621_1",203621,1,"Urotheca pachyura","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203621_1.tif"
"42493217_1",42493217,1,"Pseudechis butleri","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42493217_1.tif"
"64277_1",64277,1,"Aspidoscelis motaguae","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64277_1.tif"
"16939_1",16939,1,"Rhoptropella ocellata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\16939_1.tif"
"63902_1",63902,1,"Rhadinaea myersi","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\63902_1.tif"
"203139_1",203139,1,"Diplolaemus sexcinctus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203139_1.tif"
"172677_1",172677,1,"Hemidactylus leschenaultii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172677_1.tif"
"42493166_1",42493166,1,"Oxyuranus scutellatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42493166_1.tif"
"48444179_1",48444179,1,"Dicrodon heterolepis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\48444179_1.tif"
"178445_1",178445,1,"Gerrhopilus oligolepis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178445_1.tif"
"196993_1",196993,1,"Nucras ornata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196993_1.tif"
"48279673_1",48279673,1,"Amphisbaena pericensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\48279673_1.tif"
"169807_1",169807,1,"Gekko mindorensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169807_1.tif"
"67611149_1",67611149,1,"Atractus tamaensis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\67611149_1.tif"
"195305_1",195305,1,"Sphenomorphus variegatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\195305_1.tif"
"194109_1",194109,1,"Hemidactylus gujaratensis","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\194109_1.tif"
"47103294_1",47103294,1,"Spondylurus semitaeniatus","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\47103294_1.tif"
"102325667_1",102325667,1,"Lerista hobsoni","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102325667_1.tif"
"20230_1",20230,1,"Neelaps calonotus","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\20230_1.tif"
"203308_1",203308,1,"Tantilla albiceps","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203308_1.tif"
"109473149_1",109473149,1,"Lampropholis elongata","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109473149_1.tif"
"44979681_1",44979681,1,"Duberria shirana","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44979681_1.tif"
"177502_1",177502,1,"Lycodryas inopinae","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\177502_1.tif"
"42495905_1",42495905,1,"Pseudonaja ingrami","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42495905_1.tif"
"196933_1",196933,1,"Pachydactylus carinatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196933_1.tif"
"15177369_1",15177369,1,"Drepanoides anomalus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15177369_1.tif"
"164614_1",164614,1,"Tenuidactylus fedtschenkoi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\164614_1.tif"
"48444020_1",48444020,1,"Gonatodes atricucullaris","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\48444020_1.tif"
"44577452_1",44577452,1,"Anolis lyra","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44577452_1.tif"
"15177551_1",15177551,1,"Echinanthera cephalostriata","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\15177551_1.tif"
"190588_1",190588,1,"Ialtris parishi","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\190588_1.tif"
"190577_1",190577,1,"Haitiophis anomalus","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\190577_1.tif"
"56050657_1",56050657,1,"Liolaemus anomalus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56050657_1.tif"
"102648407_1",102648407,1,"Cyrtodactylus tiomanensis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102648407_1.tif"
"56052403_1",56052403,1,"Liolaemus cuyanus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56052403_1.tif"
"199676_1",199676,1,"Pseudotrapelus sinaitus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\199676_1.tif"
"176324_1",176324,1,"Achalinus ater","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176324_1.tif"
"64265_1",64265,1,"Aspidoscelis flagellicauda","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64265_1.tif"
"157679001_1",157679001,1,"Cnemaspis kivulegedarai","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\157679001_1.tif"
"102672724_1",102672724,1,"Diplodactylus hillii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102672724_1.tif"
"178582_1",178582,1,"Loxopholis parietalis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178582_1.tif"
"169749_1",169749,1,"Dryophiops philippina","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169749_1.tif"
"192207_1",192207,1,"Calamaria albiventer","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192207_1.tif"
"177527_1",177527,1,"Drysdalia mastersii","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\177527_1.tif"
"172740_1",172740,1,"Furcifer belalandaensis","CR",NA
"109480598_1",109480598,1,"Carinascincus greeni","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109480598_1.tif"
"104673194_1",104673194,1,"Lophocalotes ludekingi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104673194_1.tif"
"199612_1",199612,1,"Mesalina ayunensis","DD",NA
"110133660_1",110133660,1,"Boaedon perisilvestris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\110133660_1.tif"
"102658089_1",102658089,1,"Scincella ochracea","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102658089_1.tif"
"62249_1",62249,1,"Eulamprus tympanum","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\62249_1.tif"
"75606581_1",75606581,1,"Tropidophis parkeri","CR","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75606581_1.tif"
"83491681_1",83491681,1,"Diporiphora amphiboluroides","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\83491681_1.tif"
"64152_1",64152,1,"Sceloporus taeniocnemis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64152_1.tif"
"169770_1",169770,1,"Tropidophorus grayi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169770_1.tif"
"102349735_1",102349735,1,"Tytthoscincus temengorensis","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102349735_1.tif"
"192039_1",192039,1,"Hebius bitaeniatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\192039_1.tif"
"64046_1",64046,1,"Phyllodactylus lanei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64046_1.tif"
"56251432_1",56251432,1,"Phymaturus sitesi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56251432_1.tif"
"178598_1",178598,1,"Nactus multicarinatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178598_1.tif"
"42482796_1",42482796,1,"Cyrtodactylus tripartitus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\42482796_1.tif"
"56039152_1",56039152,1,"Amphisbaena borelli","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56039152_1.tif"
"172982_1",172982,1,"Thamnosophis martae","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172982_1.tif"
"64141_1",64141,1,"Sceloporus samcolemani","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64141_1.tif"
"178195_1",178195,1,"Liolaemus capillitas","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178195_1.tif"
"169780_1",169780,1,"Ramphotyphlops suluensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169780_1.tif"
"201751_1",201751,1,"Ramphotyphlops aluensis","DD",NA
"178612_1",178612,1,"Nucras scalaris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178612_1.tif"
"172628_1",172628,1,"Hebius beddomei","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172628_1.tif"
"169685_1",169685,1,"Etheridgeum pulchrum","DD",NA
"203210_1",203210,1,"Corallus hortulanus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203210_1.tif"
"124313370_1",124313370,1,"Leptotyphlops latirostris","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\124313370_1.tif"
"61481_1",61481,1,"Chalcides minutus","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\61481_1.tif"
"197490_1",197490,1,"Imantodes gemmistratus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\197490_1.tif"
"104831891_1",104831891,1,"Tropidophorus cocincinensis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104831891_1.tif"
"203181_1",203181,1,"Holcosus leptophrys","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203181_1.tif"
"197174_1",197174,1,"Rhinophis homolepis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\197174_1.tif"
"13265194_1",13265194,1,"Dipsadoboa brevirostris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\13265194_1.tif"
"64352_1",64352,1,"Lepidophyma lipetzi","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\64352_1.tif"
"109463159_1",109463159,1,"Ctenotus colletti","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109463159_1.tif"
"56050540_1",56050540,1,"Liolaemus abaucan","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56050540_1.tif"
"75606528_1",75606528,1,"Tropidophis jamaicensis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75606528_1.tif"
"199587_1",199587,1,"Pristurus collaris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\199587_1.tif"
"12000_1",12000,1,"Liolaemus hellmichi","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\12000_1.tif"
"203033_1",203033,1,"Celestus macrotus","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\203033_1.tif"
"197484_1",197484,1,"Enulius flavitorques","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\197484_1.tif"
"178488_1",178488,1,"Takydromus toyamai","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178488_1.tif"
"169814_1",169814,1,"Lycodon ferroni","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\169814_1.tif"
"178492_1",178492,1,"Anolis pinchoti","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\178492_1.tif"
"109463785_1",109463785,1,"Ctenotus monticola","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\109463785_1.tif"
"172539_1",172539,1,"Trioceros schubotzi","NT","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172539_1.tif"
"151183543_1",151183543,1,"Atractus collaris","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\151183543_1.tif"
"44578488_1",44578488,1,"Cercosaura eigenmanni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\44578488_1.tif"
"104771628_1",104771628,1,"Sphenomorphus incognitus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104771628_1.tif"
"104717067_1",104717067,1,"Gekko bonkowskii","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104717067_1.tif"
"177933_1",177933,1,"Liolaemus xanthoviridis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\177933_1.tif"
"102965529_1",102965529,1,"Anomalopus swansoni","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102965529_1.tif"
"197249_1",197249,1,"Calotes liolepis","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\197249_1.tif"
"176143_1",176143,1,"Celatiscincus euryotis","EN","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\176143_1.tif"
"75161240_1",75161240,1,"Amphisbaena mitchelli","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\75161240_1.tif"
"172913_1",172913,1,"Phelsuma barbouri","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\172913_1.tif"
"102830591_1",102830591,1,"Delma desmosa","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\102830591_1.tif"
"183151_1",183151,1,"Malayopython reticulatus","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\183151_1.tif"
"21706_1",21706,1,"Thamnophis gigas","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\21706_1.tif"
"56798439_1",56798439,1,"Saltuarius moritzi","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\56798439_1.tif"
"104769828_1",104769828,1,"Sphenomorphus bacboensis","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\104769828_1.tif"
"196632_1",196632,1,"Prasinohaema virens","LC","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\196632_1.tif"
"199854_1",199854,1,"Python kyaiktiyo","VU","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\199854_1.tif"
"150255772_1",150255772,1,"Trimeresurus gunaleni","DD","E:\Priority program\Re-PriorityProgram20220903\ReAOH\REPTILES\150255772_1.tif"
