"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
3289,"Oreotrochilus leucopleurus",203697.415705744,27170.5037267661,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Oreotrochilus leucopleurus.csv","bird",43512.0118950927,160185.403810651,-0.102019539906983,303289,"Oreotrochilus leucopleurus"
3290,"Oreotrochilus melanogaster",15254.042860388,8478.95074661574,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Oreotrochilus melanogaster.csv","bird",1092.29344577662,14161.7494146114,0.52157333521644,303290,"Oreotrochilus melanogaster"
3291,"Oreotrochilus adela",16652.1899312837,9018.0724622715,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Oreotrochilus adela.csv","bird",727.786634761725,15924.403296522,0.520597839738759,303291,"Oreotrochilus adela"
3292,"Patagona gigas_1",557887.794061807,55788.7794061807,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Patagona gigas_1.csv","bird",93987.8915635093,463899.902498298,-0.0823455105529436,303292,"Patagona gigas"
3293,"Patagona gigas_2",20123.2817186939,10276.8183163851,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Patagona gigas_2.csv","bird",743.543196395483,19379.7385222984,0.491924247897208,303293,"Patagona gigas"
3294,"Aglaeactis cupripennis",59474.1941829476,19867.6630799025,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Aglaeactis cupripennis.csv","bird",20683.4393457908,38790.7548371568,-0.0210363495746326,303294,"Aglaeactis cupripennis"
3295,"Aglaeactis castelnaudii",1130.82466346591,1108.1624529034,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Aglaeactis castelnaudii.csv","bird",272.635449519181,858.189213946725,0.973193473193473,303295,"Aglaeactis castelnaudii"
3296,"Aglaeactis aliciae",5.89626562638861,5.89626562638861,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Aglaeactis aliciae.csv","bird",5.51573706023644,0.380528566152175,NA,303296,"Aglaeactis aliciae"
3297,"Aglaeactis pamela",1614.77736874016,1488.64825687771,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Aglaeactis pamela.csv","bird",658.833823270402,955.943545469757,0.868062827225131,303297,"Aglaeactis pamela"
3298,"Lafresnaya lafresnayi",100662.422311981,24992.4168482456,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Lafresnaya lafresnayi.csv","bird",34172.1234265366,66490.298885444,-0.138065874567604,303298,"Lafresnaya lafresnayi"
3299,"Pterophanes cyanopterus",92834.4714085127,24273.9051371757,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Pterophanes cyanopterus.csv","bird",29226.5633971787,63607.9080113341,-0.0778687880264751,303299,"Pterophanes cyanopterus"
3300,"Coeligena coeligena",110238.227267588,25737.0410724275,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena coeligena.csv","bird",40652.8434220106,69585.3838455776,-0.214356542358267,303300,"Coeligena coeligena"
3301,"Coeligena wilsoni",17277.9703067572,9253.07134942905,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena wilsoni.csv","bird",5591.98970387831,11685.9806028788,0.313307659392383,303301,"Coeligena wilsoni"
3302,"Coeligena prunellei",5368.59482711894,3897.96028960369,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena prunellei.csv","bird",1516.63540787437,3851.95941924457,0.618280965982862,303302,"Coeligena prunellei"
3303,"Coeligena phalerata",2338.68408365464,2014.8156297329,"NT","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena phalerata.csv","bird",1359.23031953624,979.453764118399,0.669050051072523,303303,"Coeligena phalerata"
3304,"Coeligena orina",313.654100858353,313.654100858353,"EN","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena orina.csv","bird",284.869128799978,28.784972058375,1,303304,"Coeligena orina"
3305,"Coeligena helianthea",23858.0182798942,11522.0702524742,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena helianthea.csv","bird",6150.62151914542,17707.3967607488,0.30332636810301,303305,"Coeligena helianthea"
3306,"Coeligena lutetiae",23282.5110827198,11336.800137886,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena lutetiae.csv","bird",11463.1656201276,11819.3454625922,-0.0107454099331585,303306,"Coeligena lutetiae"
3307,"Coeligena iris",29460.9676131385,13214.9837727162,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Coeligena iris.csv","bird",9775.40400640926,19685.5636067292,0.174701549403099,303307,"Coeligena iris"
3308,"Ensifera ensifera",207469.991922778,27053.1240220366,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Ensifera ensifera.csv","bird",68964.8734280295,138505.118494749,-0.302602794122956,303308,"Ensifera ensifera"
3309,"Sephanoides sephaniodes_1",164408.704236475,27672.342055736,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sephanoides sephaniodes_1.csv","bird",31895.1948020086,132513.509434466,-0.031868571385449,303309,"Sephanoides sephaniodes"
3310,"Sephanoides sephaniodes_2",152934.081636413,27544.5226198159,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sephanoides sephaniodes_2.csv","bird",40920.7746924774,112013.306943935,-0.119423638327694,303310,"Sephanoides sephaniodes"
3311,"Sephanoides sephaniodes_3",400947.725908962,40094.7725908962,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sephanoides sephaniodes_3.csv","bird",36057.8500601842,364889.875848778,0.0110608979717119,303311,"Sephanoides sephaniodes"
3312,"Sephanoides fernandensis",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sephanoides fernandensis.csv","bird",0,0,NA,303312,"Sephanoides fernandensis"
3313,"Boissonneaua flavescens",42810.3030681088,16595.147835939,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Boissonneaua flavescens.csv","bird",15839.2811181615,26971.0219499474,0.0279930295502577,303313,"Boissonneaua flavescens"
3314,"Boissonneaua matthewsii",58492.4698903171,19698.4063374694,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Boissonneaua matthewsii.csv","bird",23796.1258082119,34696.3440821052,-0.118111597878718,303314,"Boissonneaua matthewsii"
3315,"Boissonneaua jardini",20849.7922373943,10527.3082503567,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Boissonneaua jardini.csv","bird",5667.85675705132,15181.935480343,0.320071141558527,303315,"Boissonneaua jardini"
