"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
7307,"Lampropeltis holbrooki",1474213.36801962,147421.336801962,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Lampropeltis holbrooki.csv","reptile",98850.433771519,1375362.9342481,0.0353143390612799,207307,"Lampropeltis holbrooki"
7308,"Tricheilostoma dimidiatum",281503.561657252,28150.3561657252,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Tricheilostoma dimidiatum.csv","reptile",138101.44305414,143402.118603112,-0.766739654955998,207308,"Tricheilostoma dimidiatum"
7309,"Lampropeltis knoblochi",131165.248543476,26906.6749969494,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Lampropeltis knoblochi.csv","reptile",52104.5062660579,79060.7422774178,-0.318719959524412,207309,"Lampropeltis knoblochi"
7310,"Lampropeltis pyromelana",91779.8004855513,24169.0663983204,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Lampropeltis pyromelana.csv","reptile",10395.7498560816,81384.0506294696,0.16923473901504,207310,"Lampropeltis pyromelana"
7311,"Lampropeltis splendida",740302.953024138,74030.2953024138,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Lampropeltis splendida.csv","reptile",101986.655164394,638316.297859744,-0.0437980561352058,207311,"Lampropeltis splendida"
7312,"Riama yumborum",0.529793278258955,0.529793278258955,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Riama yumborum.csv","reptile",0,0.529793278258955,NA,207312,"Riama yumborum"
7313,"Atractus emigdioi",595.6201746109,595.6201746109,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Atractus emigdioi.csv","reptile",537.96023104128,57.6599435696204,1,207313,"Atractus emigdioi"
7314,"Chironius spixii",144352.572502861,27357.7201995296,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Chironius spixii.csv","reptile",41890.9450942222,102461.627408639,-0.141849093801544,207314,"Chironius spixii"
7315,"Paroplocephalus atriceps",15876.4066050865,8721.4038668593,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Paroplocephalus atriceps.csv","reptile",7075.6644118522,8800.74219323427,0.186931818181818,207315,"Paroplocephalus atriceps"
7316,"Echiopsis curta",350735.641771607,35073.5641771607,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Echiopsis curta.csv","reptile",79427.0453791113,271308.596392496,-0.163482094151297,207316,"Echiopsis curta"
7317,"Liopholis kintorei",982489.820826654,98248.9820826654,"VU","E:/Priority program/WJY/AOH/Species_table/reptile/Liopholis kintorei.csv","reptile",466411.808000444,516078.01282621,-0.713386348575215,207317,"Liopholis kintorei"
7318,"Liolaemus chungara",1665.42523956295,1526.95630147871,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Liolaemus chungara.csv","reptile",392.138661840713,1273.28657772223,0.890809112333071,207318,"Liolaemus chungara"
7319,"Liolaemus ubaghsi",0,0,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Liolaemus ubaghsi.csv","reptile",0,0,NA,207319,"Liolaemus ubaghsi"
7320,"Liolaemus villaricensis",40.8047499030783,40.8047499030783,"VU","E:/Priority program/WJY/AOH/Species_table/reptile/Liolaemus villaricensis.csv","reptile",23.1222472516349,17.6825026514434,1,207320,"Liolaemus villaricensis"
7321,"Elachistodon westermanni",224766.47934034,26374.7866262448,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Elachistodon westermanni.csv","reptile",27028.128364652,197738.350975688,-0.00330740677057521,207321,"Elachistodon westermanni"
7322,"Elapognathus minor",11202.682168019,6790.68733804355,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Elapognathus minor.csv","reptile",5059.54269044348,6143.13947757555,0.281784144554778,207322,"Elapognathus minor"
7323,"Anolis conspersus",81.67743406819,81.67743406819,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis conspersus.csv","reptile",13.1676722038717,68.5097618643182,1,207323,"Anolis conspersus"
7324,"Amphisbaena bakeri",1027.79896012972,1023.20531396401,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena bakeri.csv","reptile",146.944271712762,880.854688416955,0.995454545454545,207324,"Amphisbaena bakeri"
7325,"Amphisbaena barbouri",2.16675650463582,2.16675650463582,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena barbouri.csv","reptile",0.603083683755639,1.56367282088018,1,207325,"Amphisbaena barbouri"
7326,"Amphisbaena caeca",6407.12974899037,4467.31556291334,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena caeca.csv","reptile",933.621306135164,5473.50844285521,0.645532614653755,207326,"Amphisbaena caeca"
7327,"Amphisbaena carlgansi",66.0364356320505,66.0364356320505,"NT","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena carlgansi.csv","reptile",38.3299728539031,27.7064627781473,1,207327,"Amphisbaena carlgansi"
7328,"Amphisbaena caudalis",11.4502519232901,11.4502519232901,"EN","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena caudalis.csv","reptile",11.4502519232901,0,NA,207328,"Amphisbaena caudalis"
7329,"Amphisbaena cayemite",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena cayemite.csv","reptile",0,0,NA,207329,"Amphisbaena cayemite"
7330,"Amphisbaena cubana",88646.8470541242,23845.8976907346,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena cubana.csv","reptile",17800.8416023462,70846.0054517781,0.0853259181887474,207330,"Amphisbaena cubana"
7331,"Amphisbaena fenestrata",90.9188052797287,90.9188052797287,"EN","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena fenestrata.csv","reptile",0,90.9188052797286,1,207331,"Amphisbaena fenestrata"
7332,"Amphisbaena gonavensis",224.198988922429,224.198988922429,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena gonavensis.csv","reptile",6.96624012144559,217.232748800984,1,207332,"Amphisbaena gonavensis"
7333,"Amphisbaena innocens",6086.4209583626,4294.64906493057,"VU","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena innocens.csv","reptile",1358.15625294156,4728.26470542104,0.620981387478849,207333,"Amphisbaena innocens"
7334,"Amphisbaena leali",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena leali.csv","reptile",0,0,NA,207334,"Amphisbaena leali"
7335,"Amphisbaena manni",24708.5722881673,11791.7565681493,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena manni.csv","reptile",4377.89308041872,20330.6792077486,0.36463354648303,207335,"Amphisbaena manni"
7336,"Amphisbaena xera",1106.59459371247,1088.32485533325,"NT","E:/Priority program/WJY/AOH/Species_table/reptile/Amphisbaena xera.csv","reptile",120.641148399568,985.9534453129,0.981725888324873,207336,"Amphisbaena xera"
7337,"Boa nebulosa",307.310986485839,307.310986485839,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Boa nebulosa.csv","reptile",80.3210377293955,226.989948756443,1,207337,"Boa nebulosa"
7338,"Boa orophias",242.663016949016,242.663016949016,"EN","E:/Priority program/WJY/AOH/Species_table/reptile/Boa orophias.csv","reptile",80.5329851130456,162.130031835971,1,207338,"Boa orophias"
7339,"Chilabothrus strigilatus",2410.95104728097,2065.11514168966,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Chilabothrus strigilatus.csv","reptile",556.092569664328,1854.85847761664,0.813915857605178,207339,"Chilabothrus strigilatus"
7340,"Cadea blanoides",16993.9338280657,9146.87339520074,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cadea blanoides.csv","reptile",3614.24864884232,13379.6851792234,0.413483817923612,207340,"Cadea blanoides"
7341,"Cadea palirostrata",818.791599087751,818.791599087751,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Cadea palirostrata.csv","reptile",21.4406289208894,797.350970166862,1,207341,"Cadea palirostrata"
7342,"Leptophis coeruleodorsus",1968.76473168558,1751.37873579105,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Leptophis coeruleodorsus.csv","reptile",798.043264582017,1170.72146710356,0.814529914529915,207342,"Leptophis coeruleodorsus"
7343,"Leptophis haileyi",0,0,"DD","E:/Priority program/WJY/AOH/Species_table/reptile/Leptophis haileyi.csv","reptile",0,0,NA,207343,"Leptophis haileyi"
7344,"Anolis acutus",151.190140668971,151.190140668971,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis acutus.csv","reptile",0,151.190140668971,1,207344,"Anolis acutus"
7345,"Anolis alayoni",4875.05123671724,3616.24560111475,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis alayoni.csv","reptile",2198.57740727158,2676.47382944566,0.529521674140508,207345,"Anolis alayoni"
7346,"Anolis aliniger",1821.4022670819,1643.3855273672,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis aliniger.csv","reptile",762.395643615827,1059.00662346608,0.830972615675165,207346,"Anolis aliniger"
7347,"Anolis altavelensis",0,0,"CR","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis altavelensis.csv","reptile",0,0,NA,207347,"Anolis altavelensis"
7348,"Anolis alutaceus",303.979013416696,303.979013416696,"LC","E:/Priority program/WJY/AOH/Species_table/reptile/Anolis alutaceus.csv","reptile",234.306512163544,69.6725012531523,1,207348,"Anolis alutaceus"
