"X","scientific.name","area","target","category","sp.file","taxa","InPA","OutPA","prop","rijid","originalname"
11698,"Calyptophilus tertius",2695.99705395907,2260.16611632027,"VU","E:/Priority program/WJY/AOH/Species_table/bird_merge/Calyptophilus tertius.csv","bird",1207.76116075138,1488.23589320769,0.706989247311828,311698,"Calyptophilus tertius"
11699,"Ramphocelus costaricensis",16369.174156789,8910.54133381232,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Ramphocelus costaricensis.csv","bird",5817.97307323321,10551.2010835558,0.293052791204625,311699,"Ramphocelus costaricensis"
11700,"Spindalis nigricephala",9150.22291627738,5848.3960578016,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Spindalis nigricephala.csv","bird",3333.37396788079,5816.84894839659,0.432427785419532,311700,"Spindalis nigricephala"
11701,"Spindalis dominicensis",55352.7902846364,19138.8432079339,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Spindalis dominicensis.csv","bird",14221.8567036173,41130.9335810191,0.119523462193046,311701,"Spindalis dominicensis"
11702,"Spindalis portoricensis",6609.13988107795,4574.72393548108,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Spindalis portoricensis.csv","bird",1140.46161524153,5468.67826583643,0.628017556693489,311702,"Spindalis portoricensis"
11703,"Sporophila funerea",416397.024570415,41639.7024570415,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Sporophila funerea.csv","bird",147997.595360564,268399.42920985,-0.396268242430113,311703,"Sporophila funerea"
11704,"Agelaius assimilis",2145.04999987496,1878.21477829271,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Agelaius assimilis.csv","bird",1802.54829479022,342.501705084739,0.219298245614035,311704,"Agelaius assimilis"
11705,"Icterus bullockiorum_1",5276.65726744775,3846.06424629883,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Icterus bullockiorum_1.csv","bird",192.976941942285,5083.68032550546,0.718670076726343,311705,"Icterus bullockiorum"
11706,"Icterus bullockiorum_2",514648.02954798,51464.802954798,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Icterus bullockiorum_2.csv","bird",48653.8963092959,465994.133238684,0.00603012055949218,311706,"Icterus bullockiorum"
11707,"Icterus bullockiorum_3",368834.338960227,36883.4338960227,"LC","E:/Priority program/WJY/AOH/Species_table/bird_merge/Icterus bullockiorum_3.csv","bird",132850.107060629,235984.231899598,-0.406667401179741,311707,"Icterus bullockiorum"
